,review,rating
0,"""The battery lasts about 1 hour if you use your machine as an e-book reader""",Negative
1,"""I have since put it on a raised metal grid with a 3"" fan underneath and no problems""",Negative
2,"""My HP zt1170 had the backlight on the LCD go out""",Positive
3,"""Its just over a year old and just off warranty""",Negative
4,"""They wanted almost $800 for the repair, but we settled for $577""",Negative
5,"""Fix #1 lasted 2 weeks""",Negative
6,"""I finally got them to repair my LT, but I feel like with the poor reliability history that its days may be numbered""",Negative
7,"""But the OS was extremely outdated""",Positive
8,"""I expected a more versatile cd drive""",Negative
9,"""Now, less than 6 months after making these two purchases, both iBooks are back with Apple technical support services for repair""",Positive
10,"""I purchased this iBook with a larger hard drive (60GB) and more memory, which I received yesterday""",Positive
11,"""Surprise, surprise, when I try to read the usual internet pages I always read, the Mac version of MSExplorer doesn't support Thai script""",Negative
12,"""Finally, I called Apple and they are refusing to take it back because they say I had it 'configured for myself', meaning I added a larger hard drive and memory, both of which are available on their website as an 'add on'""",Negative
13,"""Needless to say, I will be disputing their charge with my Visa company""",Positive
14,"""just about every $ have modem/ethernet/usb-2/firewire build in, wireless network is ""not"" include on ibook, you have to pay for the airport card""",Positive
15,"""The model I have is 800mhz with cdrw/dvd drive, it is a fairly nice machine except""",Negative
16,"""very easily scratch""",Negative
17,"""very slow cd burning, need to buy Toast to do any ""real"" burning""",Positive
18,"""don't know about the latest version, but my 800mhz doesn't have audio in, flexy keyboard""",Negative
19,"""software is limited and development tend to be behind wintel machine""",Negative
20,"""good battery life2""",Negative
21,"""would I buy another one, osX is great, I will buy another one if the price stay at the same level, but with 1_5ghz+ G4/512M""",Positive
22,"""for this price, unless u have to have a Mac, YOu can do much much better with a window machine""",Negative
23,"""I have had the Vaio for several months, and the software installed on Vaio has finally crashed out completely""",Negative
24,"""I am returning several PCG-FRV25 units today due to the very, very large power supply""",Negative
25,"""The biggest laptop power supply I have ever seen""",Negative
26,"""I suggest looking at the power supply before purchasing this laptop""",Negative
27,"""I bought a PCG-V505BX at the same time and the power supply is the smallest I have ever seen""",Negative
28,"""Using an external mouse doesn't helps at all""",Negative
29,"""Just figure how many times you may use pageup/pagedown/home/end keys when you writing a paper, now you have to press Fn and the cursor key""",Negative
30,"""The Video/Audio play back, it pauses likes the mouse, not even a smooth play, everything plays smoothly on a $300 machine, but not on this $3k baby""",Negative
31,"""The audio chokes, the video jumps""",Negative
32,"""The battery, remember it only lasts 1 hr""",Negative
33,"""If you went on a 30 minutes presentation, be prepare for run out of battery in the middle of the presentation, if you take the preparation & answering questions into account""",Positive
34,"""A double capcity battery is $500, which is abosultely a rip off""",Negative
35,"""I type roughly 90 words a minute""",Negative
36,"""It sometimes does not work and sometimes jumps from one corner to the other corner of the screen""",Negative
37,"""Battery life is too short""",Positive
38,"""This Notebook does NOT include RECOVERY CD's""",Positive
39,"""So, if you have a problem with your software you have nothing to do""",Negative
40,"""After three months, I finally tried the DVD player and found that it didn't function""",Positive
41,"""The service center was less then helpful in providing well-thought out solutions""",Positive
42,"""I love the styling and the nice features of the V505's but Sony should issue a recall to fix the touchpad's""",Negative
43,"""First of all, the pointer will sometimes skip 1/2 way across your screen for NO reason""",Negative
44,"""Sometimes, when surfing the net and dragging your pointer to the left, your browser goes back a page""",Positive
45,"""The problems started before I installed anything or connected to the internet""",Positive
46,"""Best Buy charged a 15% restocking fee which I am trying to fight""",Negative
47,"""The problems started before I installed anything or connected to the internet""",Positive
48,"""Best Buy charged a 15% restocking fee which I am trying to fight""",Negative
49,"""I've also had to replace the power cord, which took 6 weeks""",Positive
50,"""Overall, I wish it were a better system, because the portability is fantastic, the screen is sharp and colorful, and if it didn't randomly die on me it'd be the perfect laptop""",Positive
51,"""(This was my biggest worry about such a small screen, but its not a problem for me)""",Positive
52,"""The keyboard is small, but very useable for my medium-sized hands""",Negative
53,"""Finally, the battery power is just phenomenal (over 7 hours on std""",Negative
54,"""I haven't tried doing a straight copy of a retail DVD, so I'm not sure if it would work, but if it does, I'm sure it would take a LONG time""",Negative
55,"""Within less than six months I had problems with the power port""",Negative
56,"""After another three months the power port burned up""",Positive
57,"""By phone I asked to buy a replacement port from Emachine, they refused to provide it""",Positive
58,"""I simple want a power port replacement for my laptop, which has been inoperable for almost six months""",Negative
59,"""I ordered it to make calls via Foxfire voice Skype through the Google explorer toobar and found out that it wasn't even capable of sending texts""",Negative
60,"""I tried downloading the antiphoneware program but all I got was a dead tone""",Negative
61,"""It was supposed to be wireless and it's not, it is utter JUNK""",Positive
62,"""Beware, the picture is very deceiving""",Positive
63,"""Mine came without a phone and was simply a square pallet with a very large screen""",Negative
64,"""However, this is not exactly a small form factor like the Jornada it is about the size of a Fujitsu P1120 or a Avertec P""",Positive
65,"""Weight wise it is about""",Negative
66,"""A good part is that it does have the ability to instantly turn on but the screen is terrible""",Negative
67,"""In fact probably the worst screen of any PDA / Laptop I have seen""",Positive
68,"""I wanted this so that I could throw it in a Gym bag and if needed instantly turn it on and trade stocks through a TMobile Aircard""",Negative
69,"""Part of the NEC 900 that is rotten is the OS""",Negative
70,"""The AirCard software would die while it works on a PDA and over 6 laptops and tablets""",Negative
71,""", I couldn't actually connect to the world wide web)""",Negative
72,"""They only use poorly refurbished replacement parts to repair their poorly manufactured products""",Positive
73,"""I am trying to connect this to my wifi,it doesn't work,it seems like its not wifi ready""",Positive
74,"""Anybody here know how to connect this to my wifi""",Positive
75,"""I bought this due to the cheapest price""",Positive
76,"""It is not suitable to install more than 10 programs""",Negative
77,"""Cd writer causes problems sometimes""",Positive
78,"""I installed DeLorme's Street Atlas 2003 and Earthmate GPS""",Negative
79,"""Toshiba's tech support person was foreign and almost unintelligible""",Positive
80,"""' When I insisted my laptop met minimum requirements she told me it must be a Windows OS problem""",Negative
81,"""For the price (under $1000), the Toshiba Satellite A15-S157 seemed to be a great deal""",Negative
82,"""First, the computer's DVD player literally never worked""",Negative
83,"""Naturally, by the time I realized this, the warranty was out""",Negative
84,"""It expired the week before and they wouldn't let me renew it, nor would they fix the problem""",Negative
85,"""Then, two keys on the keyboard stopped functioning""",Positive
