,0,1
0,2,"""In fairness, I have to say that after I e-mailed a complaint to Landel, their customer service people have gone beyond the call of duty to try and help"""
1,2,"""A customer service rep said there have been problems like this recently"""
2,1,"""My experience is that while thedevice itself might work just fine, my final experience with customer service was horrible"""
3,1,"""They encouraged me to try it based on a 30 day money back guarantee"""
4,1,"""But what about that 30 day money back guarantee"""
5,1,"""I had 26 calendar days to evaluate a working unit"""
6,2,"""I have left many messages - you only get voice mail jail not a real person when you call - and e-mailed them"""
7,1,"""Price was fair"""
8,1,"""To date i have not seen this money"""
9,1,"""It's not even the money as much is it's the principle"""
10,1,"""They sent an e-mail saying they had ' improved ' our configuration and phone number, and that the service would continue as before"""
11,1,"""My kids read this email and thought nothing of it"""
12,1,"""I used to use EarthLink for my ISP, but switched after I got fed up with their ' customer support"""
13,2,"""Now, she wanted something to only read e-mail, and that's exactly what she got"""
14,2,"""You cannot receive any photos, smiley faces or graphics"""
15,2,"""You cannot search through the internet"""
16,2,"""But, for the money spent for the item, AND your monthly subscription, it's no bargin"""
17,1,"""With no customer support available at night, you waste an evening twidling your thumbs waiting for them to get back to you"""
18,1,"""It was fine for about two weeks then the email account was inundated with SPAM"""
19,1,"""We cancelled the email account and removed the appliance from mother-in-law's residence"""
20,2,"""yes, you can always add an external one to it, but why waste your money on something that will soon be intigrated with the computer"""
21,2,"""It might be a tad slower but at least you can back up your data without having to buy anything axtra (except maybe a CD)"""
22,2,"""the screen blacks out after 10 minutes, so you constantly have to do a cold shutdown and restart"""
23,2,"""Great if you can use an alternate screen"""
24,1,"""The price is deal breaker"""
25,1,"""Beware though I just got it whole shipping was reasonable time the product Piece of junk"""
26,1,"""In comments Now the want to tell me it's only for parts doesn't even work plus no charger"""
27,1,"""I feel like I just gave my money away"""
28,1,"""CAN NOT ACCESS THE INTERNET NO MATTER WHAT I TRY AND HAVE NOT BEEN ABLE TO GET ANY HELP FROM THE SELLER NOR A REFUND FOR THE PRODUCT"""
29,1,"""Screen is black only"""
30,1,"""Price was cheap so I guess you get what you pay for"""
31,1,"""It is not willing to connect to the internet, i've tried numerous ways"""
32,2,"""Keyboard - I love the feel of a good crisp keyboard"""
33,2,"""I type fast and like to know that my finger has clicked on the key it aimed for"""
34,2,"""The keyboard is average"""
35,2,"""Mouse Pad - It features a touch sensitive pad as is common with notebooks"""
36,2,"""I'm not impressed with ease of use nor accuracy and I end up plugging a cord mouse instead as the onboard one drove me nuts"""
37,2,"""Weight - This laptop is on the more weightier side than many"""
38,2,"""At first, I liked that because it game me the illusion of being sturdier"""
39,2,"""Battery - this is one place I don't have many complaints"""
40,2,"""It's just above average battery time and I've not had to replace mine at all"""
41,2,"""Onboard Software Bundle - Blech"""
42,2,"""Their tools are not fool proof and take up too much valuable space on the HD"""
43,2,"""I wish the software was non-proprietary"""
44,1,"""It is one thing to have various problems with a computer, but another to have incompetent and indifferent tech support"""
45,1,"""I had my Compaq Presario 1200 Notebook for 3 months before I lost the first hard drive"""
46,1,"""The second Hard Drive lasted three months"""
47,1,"""The machine locked up and was not restorable when I was in South America"""
48,1,"""When I returned to the USA I went through [a lot] again with the customer service (oxymoron with Compaq)"""
